distance,A3.1-A4.1,A3.7-A4.7,A5.1,A5.2,A5.4,y
0.017693363622925628,10,0,0,0,0,A3.1-A4.1
0.0353535299183656,15,0,0,0,0,A3.1-A4.1
0.05005609485889907,15,0,0,0,0,A3.1-A4.1
0.035147076479655016,12,0,0,0,0,A3.1-A4.1
0.03420331315672219,12,0,0,0,0,A3.1-A4.1
0.009095637296226564,3,0,0,0,0,A3.1-A4.1
0.00948214246315168,3,0,0,0,0,A3.1-A4.1
0.04426762862518906,16,0,3,0,0,A3.1-A4.1
0.04426762862518906,16,0,3,0,0,A3.1-A4.1
0.01329610668432831,4,0,1,0,0,A3.1-A4.1
0.003377150341126975,1,0,0,0,0,A3.1-A4.1
0.046903574740785096,20,5,1,0,0,A3.1-A4.1
0.0023717760082020423,1,0,0,0,0,A3.1-A4.1
0.003377150341126975,1,0,0,0,0,A3.1-A4.1
0.009299030710960221,5,0,0,0,0,A3.1-A4.1
0.002795185889346008,1,0,0,0,0,A3.1-A4.1
0.010223632890862384,3,0,0,0,0,A3.1-A4.1
0.01147290507946212,16,0,0,0,0,A3.1-A4.1
0.01147290507946212,16,0,0,0,0,A3.1-A4.1
0.05573896953858755,31,2,2,1,1,A3.1-A4.1
0.05970351202542127,14,1,1,1,1,A3.1-A4.1
0.008062987456896854,10,0,0,0,0,A3.1-A4.1
0.039205493794596515,15,0,0,0,0,A3.1-A4.1
0.039205493794596515,15,0,0,0,0,A3.1-A4.1
0.039205493794596515,15,0,0,0,0,A3.1-A4.1
0.039205493794596515,15,0,0,0,0,A3.1-A4.1
0.016899394033489584,5,0,0,0,0,A3.1-A4.1
0.006610391885161609,2,0,0,0,0,A3.1-A4.1
0.006079234395607642,2,0,0,0,0,A3.1-A4.1
0.03275759591646343,10,0,0,0,0,A3.1-A4.1
